"Data"       ,"Hora (UTC)" ,"Temp. Ins. (C)" ,"Temp. Max. (C)" ,"Temp. Min. (C)" ,"Umi. Ins. (%)" ,"Umi. Max. (%)" ,"Umi. Min. (%)" ,"Pto Orvalho Ins. (C)" ,"Pto Orvalho Max. (C)" ,"Pto Orvalho Min. (C)" ,"Pressao Ins. (hPa)" ,"Pressao Max. (hPa)" ,"Pressao Min. (hPa)" ,"Vel. Vento (m/s)" ,"Dir. Vento (m/s)" ,"Raj. Vento (m/s)" ,"Radiacao (KJ/m²)" ,"Chuva (mm)"
"22/04/2024" ,"0000"       ,"21.1"           ,"21.6"           ,"21.1"           ,"75.0"          ,"75.0"          ,"74.0"          ,"16.5"                 ,"16.7"                 ,"16.5"                 ,"888.5"              ,"888.5"              ,"887.9"              ,"2.0"              ,"106.0"            ,"4.2"              ,""                 ,"0.0"
"22/04/2024" ,"0100"       ,"20.6"           ,"21.2"           ,"20.5"           ,"77.0"          ,"78.0"          ,"75.0"          ,"16.4"                 ,"16.6"                 ,"16.4"                 ,"888.7"              ,"888.7"              ,"888.5"              ,"2.1"              ,"106.0"            ,"4.4"              ,""                 ,"0.0"
"22/04/2024" ,"0200"       ,"19.9"           ,"20.6"           ,"19.7"           ,"82.0"          ,"82.0"          ,"77.0"          ,"16.6"                 ,"16.7"                 ,"16.4"                 ,"888.7"              ,"888.7"              ,"888.6"              ,"1.6"              ,"108.0"            ,"4.4"              ,""                 ,"0.0"
"22/04/2024" ,"0300"       ,"20.0"           ,"20.1"           ,"19.6"           ,"81.0"          ,"83.0"          ,"81.0"          ,"16.6"                 ,"16.8"                 ,"16.6"                 ,"888.8"              ,"888.8"              ,"888.7"              ,"2.4"              ,"108.0"            ,"4.6"              ,""                 ,"0.0"
"22/04/2024" ,"0400"       ,"19.8"           ,"20.1"           ,"19.7"           ,"82.0"          ,"82.0"          ,"80.0"          ,"16.6"                 ,"16.7"                 ,"16.5"                 ,"888.5"              ,"888.8"              ,"888.5"              ,"2.3"              ,"110.0"            ,"4.6"              ,""                 ,"0.0"
"22/04/2024" ,"0500"       ,"19.3"           ,"19.8"           ,"19.3"           ,"84.0"          ,"84.0"          ,"82.0"          ,"16.4"                 ,"16.6"                 ,"16.4"                 ,"888.1"              ,"888.5"              ,"888.1"              ,"1.8"              ,"120.0"            ,"4.6"              ,""                 ,"0.0"
"22/04/2024" ,"0600"       ,"18.8"           ,"19.4"           ,"18.8"           ,"86.0"          ,"86.0"          ,"83.0"          ,"16.5"                 ,"16.6"                 ,"16.4"                 ,"887.9"              ,"888.1"              ,"887.9"              ,"1.5"              ,"116.0"            ,"3.6"              ,""                 ,"0.0"
"22/04/2024" ,"0700"       ,"18.8"           ,"19.0"           ,"18.6"           ,"88.0"          ,"88.0"          ,"86.0"          ,"16.7"                 ,"16.7"                 ,"16.4"                 ,"887.7"              ,"887.9"              ,"887.7"              ,"2.5"              ,"100.0"            ,"5.4"              ,""                 ,"0.0"
"22/04/2024" ,"0800"       ,"18.3"           ,"18.8"           ,"18.2"           ,"91.0"          ,"91.0"          ,"88.0"          ,"16.7"                 ,"16.8"                 ,"16.6"                 ,"887.6"              ,"887.7"              ,"887.6"              ,"2.3"              ,"93.0"             ,"5.6"              ,""                 ,"0.0"
"22/04/2024" ,"0900"       ,"17.7"           ,"18.3"           ,"17.7"           ,"93.0"          ,"93.0"          ,"91.0"          ,"16.6"                 ,"16.8"                 ,"16.6"                 ,"887.9"              ,"887.9"              ,"887.6"              ,"1.4"              ,"115.0"            ,"4.5"              ,""                 ,"0.0"
